+----------------------+------+--------+----------+-------------------------------------------------+
|      series id       | year | period |  value   |                    footnotes                    |
+----------------------+------+--------+----------+-------------------------------------------------+
| LAUST480000000000005 | 2022 |  M12   | 14260768 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M11   | 14222585 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M10   | 14189171 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M09   | 14142120 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M08   | 14094855 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M07   | 14088346 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M06   | 14058566 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M05   | 14085102 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M04   | 14076764 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M03   | 14080750 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M02   | 13979120 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2022 |  M01   | 13835851 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M12   | 13894391 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M11   | 13874660 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M10   | 13746884 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M09   | 13638387 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M08   | 13548315 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M07   | 13525809 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M06   | 13403377 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M05   | 13403781 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000005 | 2021 |  M04   | 13379963 | Data were subject to revision on March 1, 2023. |
